Class,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
ABP,0.230769231,0,0,0,0.076923077,0.076923077,0,0,0.153846154,0.384615385,0,0,0,0,0,0.076923077,0,0,0,0
ABP,0,0,0,0,0,0.1,0,0.1,0.2,0.4,0,0.1,0,0,0,0,0.1,0,0,0
ABP,0.076923077,0,0,0,0.307692308,0.076923077,0,0,0.153846154,0.230769231,0,0,0.076923077,0,0,0,0,0.076923077,0,0
ABP,0,0,0,0,0,0.076923077,0,0.076923077,0,0.461538462,0,0.153846154,0.076923077,0,0,0.076923077,0,0.076923077,0,0
ABP,0,0,0,0,0,0.166666667,0,0.166666667,0.083333333,0.166666667,0.083333333,0,0.083333333,0,0.083333333,0.083333333,0,0,0.083333333,0
ABP,0.117647059,0,0,0,0.058823529,0.117647059,0,0.058823529,0,0.058823529,0.058823529,0.117647059,0,0,0.058823529,0,0.058823529,0.117647059,0.117647059,0.058823529
ABP,0.142857143,0,0,0,0.047619048,0.142857143,0,0.142857143,0,0.095238095,0,0,0.047619048,0,0,0.142857143,0.19047619,0,0,0.047619048
ABP,0.117647059,0,0.058823529,0,0.058823529,0.176470588,0,0,0.117647059,0.294117647,0,0.058823529,0,0,0,0,0.058823529,0.058823529,0,0
ABP,0,0,0,0,0.153846154,0.076923077,0,0,0.153846154,0.307692308,0.076923077,0,0.076923077,0,0,0.076923077,0,0.076923077,0,0
ABP,0,0,0,0,0,0.166666667,0,0.083333333,0,0.5,0,0.166666667,0.083333333,0,0,0,0,0,0,0
ABP,0,0,0,0,0.071428571,0.071428571,0.071428571,0.214285714,0.071428571,0.357142857,0,0.071428571,0.071428571,0,0,0,0,0,0,0
ABP,0,0,0,0,0.083333333,0.166666667,0,0,0,0.416666667,0,0,0.083333333,0,0,0.083333333,0.083333333,0.083333333,0,0
ABP,0,0,0,0,0.142857143,0.142857143,0,0.142857143,0.214285714,0.142857143,0,0,0,0,0,0.071428571,0,0.071428571,0.071428571,0
ABP,0.153846154,0,0,0,0.230769231,0.076923077,0,0.153846154,0.076923077,0.153846154,0,0,0,0,0,0.153846154,0,0,0,0
ABP,0,0,0,0,0.071428571,0.142857143,0,0.142857143,0.214285714,0.142857143,0,0,0,0,0,0.142857143,0,0.071428571,0.071428571,0
ABP,0,0,0,0,0.076923077,0.076923077,0,0.076923077,0.153846154,0.384615385,0,0,0.076923077,0,0,0.076923077,0,0.076923077,0,0
ABP,0.076923077,0,0,0,0.230769231,0.153846154,0.153846154,0.230769231,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0
ABP,0.166666667,0,0,0,0.166666667,0.083333333,0,0.166666667,0.083333333,0.083333333,0.083333333,0,0,0,0,0.166666667,0,0,0,0
ABP,0.076923077,0,0,0,0,0.076923077,0,0.076923077,0.076923077,0.384615385,0.076923077,0,0.076923077,0,0,0.076923077,0,0.076923077,0,0
ABP,0.076923077,0,0,0,0.230769231,0,0,0.153846154,0.076923077,0.230769231,0,0,0.076923077,0,0,0.153846154,0,0,0,0
ABP,0,0,0.1,0,0.2,0.1,0,0.2,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0
ABP,0.153846154,0,0,0,0.076923077,0.076923077,0,0,0.153846154,0.153846154,0,0,0.076923077,0,0,0.153846154,0,0.153846154,0,0
ABP,0,0,0,0.076923077,0.076923077,0.153846154,0,0.076923077,0.153846154,0.153846154,0,0,0,0,0,0.076923077,0,0.153846154,0.076923077,0
ABP,0,0,0,0,0,0.166666667,0.083333333,0.166666667,0.083333333,0.166666667,0.083333333,0,0.083333333,0,0.083333333,0,0,0,0.083333333,0
ABP,0.142857143,0,0,0.071428571,0,0.071428571,0,0.142857143,0,0.285714286,0,0,0.071428571,0,0,0,0,0.071428571,0.071428571,0.071428571
ABP,0.153846154,0,0,0,0.153846154,0.076923077,0,0,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0.076923077,0,0
ABP,0.090909091,0,0,0,0.090909091,0.090909091,0,0.090909091,0.090909091,0.272727273,0,0,0.090909091,0,0,0.090909091,0,0,0,0.090909091
ABP,0.181818182,0,0,0,0.181818182,0.090909091,0,0,0.090909091,0.181818182,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0,0,0,0,0.083333333,0.166666667,0,0.083333333,0,0.416666667,0,0.083333333,0.083333333,0,0,0.083333333,0,0,0,0
ABP,0.157894737,0,0,0,0,0.157894737,0,0,0.052631579,0.368421053,0,0.052631579,0.052631579,0,0.052631579,0,0.105263158,0,0,0
ABP,0,0,0.066666667,0,0,0.133333333,0,0,0.066666667,0.4,0,0.133333333,0.066666667,0,0,0,0,0.133333333,0,0
ABP,0.066666667,0,0,0,0.066666667,0.133333333,0,0,0.266666667,0.133333333,0,0,0,0.066666667,0,0,0.066666667,0.133333333,0.066666667,0
ABP,0,0,0,0,0.307692308,0.153846154,0,0.076923077,0.076923077,0.230769231,0,0,0.076923077,0,0.076923077,0,0,0,0,0
ABP,0.076923077,0,0,0,0,0.153846154,0,0.230769231,0.076923077,0.153846154,0,0,0,0,0,0.153846154,0,0,0.153846154,0
ABP,0.076923077,0,0,0,0.153846154,0,0,0,0.076923077,0.384615385,0,0,0.076923077,0,0,0.076923077,0.076923077,0.076923077,0,0
ABP,0.181818182,0,0,0,0.181818182,0,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0,0,0,0,0,0,0,0.076923077,0.076923077,0.461538462,0,0.076923077,0.076923077,0,0,0.076923077,0,0.153846154,0,0
ABP,0.2,0,0,0,0,0,0,0.133333333,0,0.066666667,0,0,0.133333333,0.066666667,0,0,0.066666667,0.133333333,0.066666667,0.133333333
ABP,0.083333333,0,0,0,0.083333333,0.083333333,0,0.166666667,0.083333333,0.25,0,0,0.083333333,0,0,0.083333333,0,0.083333333,0,0
ABP,0.0625,0,0,0,0,0.25,0,0.125,0,0.3125,0,0.0625,0.0625,0,0,0.0625,0,0.0625,0,0
ABP,0.083333333,0,0,0,0.166666667,0,0,0,0.083333333,0.333333333,0,0,0.083333333,0,0,0.083333333,0.083333333,0.083333333,0,0
ABP,0,0,0,0,0.272727273,0.090909091,0.181818182,0.272727273,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0
ABP,0,0,0,0,0.083333333,0.083333333,0,0.083333333,0.25,0.166666667,0,0,0.083333333,0,0,0.083333333,0.083333333,0,0.083333333,0
ABP,0,0,0,0,0,0.083333333,0.083333333,0.083333333,0.25,0.166666667,0.083333333,0,0,0,0,0.083333333,0,0,0.166666667,0
ABP,0.153846154,0,0,0,0.153846154,0,0,0,0.230769231,0.384615385,0,0,0,0,0,0.076923077,0,0,0,0
ABP,0.117647059,0,0,0,0.117647059,0.235294118,0,0,0.117647059,0.235294118,0,0.058823529,0,0,0,0.058823529,0,0.058823529,0,0
ABP,0,0,0,0,0,0,0,0,0.111111111,0.555555556,0,0.111111111,0.111111111,0,0,0.111111111,0,0,0,0
ABP,0.181818182,0,0,0,0.181818182,0.090909091,0,0,0.090909091,0.181818182,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0.181818182,0,0,0,0.181818182,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0.090909091,0
ABP,0.090909091,0,0,0,0.181818182,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0,0,0,0,0.076923077,0.076923077,0,0.076923077,0.230769231,0.230769231,0,0,0.076923077,0,0,0.076923077,0.076923077,0,0.076923077,0
ABP,0.0625,0,0,0,0,0.25,0,0.125,0,0.3125,0,0.0625,0.0625,0,0,0.0625,0,0.0625,0,0
ABP,0,0,0,0,0.083333333,0.083333333,0,0.083333333,0.25,0.25,0,0,0.083333333,0,0,0,0.083333333,0,0.083333333,0
ABP,0,0,0,0,0,0.153846154,0,0.615384615,0.076923077,0,0,0,0.076923077,0,0,0.076923077,0,0,0,0
ABP,0,0,0,0,0,0.083333333,0.083333333,0.083333333,0.25,0.25,0,0,0,0.083333333,0,0.083333333,0,0,0.083333333,0
ABP,0.142857143,0,0,0,0.142857143,0.142857143,0,0.214285714,0,0.142857143,0,0,0.071428571,0,0,0.142857143,0,0,0,0
ABP,0.076923077,0,0,0,0.076923077,0.153846154,0,0.076923077,0,0.384615385,0.076923077,0,0.076923077,0,0,0.076923077,0,0,0,0
ABP,0,0,0,0,0,0.111111111,0,0.111111111,0.111111111,0.444444444,0,0,0,0,0.111111111,0,0,0.111111111,0,0
ABP,0,0,0,0,0.090909091,0,0.090909091,0,0.090909091,0.363636364,0,0.090909091,0,0,0,0.181818182,0,0.090909091,0,0
ABP,0,0,0.083333333,0,0,0.083333333,0,0.083333333,0,0.416666667,0,0.166666667,0.083333333,0,0,0,0,0.083333333,0,0
ABP,0.153846154,0,0,0,0.153846154,0,0,0,0.230769231,0.230769231,0,0,0,0,0,0.076923077,0,0.153846154,0,0
ABP,0.076923077,0,0,0,0.384615385,0.076923077,0,0,0,0.230769231,0,0,0.076923077,0,0,0.153846154,0,0,0,0
ABP,0.125,0,0,0,0.125,0.1875,0,0,0.0625,0.3125,0,0.0625,0,0.0625,0,0,0,0.0625,0,0
ABP,0.181818182,0,0,0,0.181818182,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0,0,0.090909091,0.090909091,0
ABP,0.111111111,0,0,0,0,0.166666667,0,0.055555556,0.166666667,0.277777778,0,0.055555556,0.055555556,0,0,0.055555556,0,0.055555556,0,0
ABP,0,0,0,0,0,0.083333333,0.333333333,0,0,0.5,0,0,0,0,0,0,0,0,0.083333333,0
ABP,0.181818182,0,0,0,0.090909091,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0.0625,0,0,0,0.125,0.1875,0,0.125,0.0625,0.1875,0,0,0.0625,0,0,0.125,0,0.0625,0,0
ABP,0,0,0,0.076923077,0.076923077,0.153846154,0,0.076923077,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0,0.076923077,0
ABP,0,0,0,0,0,0.153846154,0,0,0.076923077,0.615384615,0,0,0,0,0,0.153846154,0,0,0,0
ABP,0.066666667,0,0,0.066666667,0,0.133333333,0,0.133333333,0.066666667,0.266666667,0,0.066666667,0,0,0,0.066666667,0.066666667,0.066666667,0,0
ABP,0,0,0,0,0.083333333,0.083333333,0,0,0.25,0.5,0,0,0.083333333,0,0,0,0,0,0,0
ABP,0.076923077,0,0,0,0,0.153846154,0,0.230769231,0,0.384615385,0,0,0.153846154,0,0,0,0,0,0,0
ABP,0.153846154,0,0,0,0.076923077,0,0,0,0.153846154,0.153846154,0,0,0.076923077,0,0,0.153846154,0,0.230769231,0,0
ABP,0.066666667,0,0,0,0.2,0.2,0.133333333,0.2,0.133333333,0.066666667,0,0,0,0,0,0,0,0,0,0
ABP,0.066666667,0,0,0,0.133333333,0.266666667,0,0.066666667,0.333333333,0.066666667,0,0,0,0,0,0.066666667,0,0,0,0
ABP,0,0,0,0,0,0.25,0,0.166666667,0.083333333,0.333333333,0,0,0.083333333,0,0,0,0.083333333,0,0,0
ABP,0,0,0,0,0.153846154,0.153846154,0,0.076923077,0.153846154,0.307692308,0,0,0.076923077,0,0,0,0,0.076923077,0,0
ABP,0.076923077,0,0,0,0,0.076923077,0,0.153846154,0.307692308,0.307692308,0,0,0,0,0,0.076923077,0,0,0,0
ABP,0.111111111,0,0,0,0,0.166666667,0,0.055555556,0.222222222,0.277777778,0,0,0.055555556,0,0,0.055555556,0,0.055555556,0,0
ABP,0.153846154,0,0,0,0.153846154,0.076923077,0,0.076923077,0.076923077,0.230769231,0.076923077,0,0,0,0,0.153846154,0,0,0,0
ABP,0.076923077,0,0,0,0.076923077,0.153846154,0,0,0.076923077,0.307692308,0.076923077,0.076923077,0,0,0,0.076923077,0,0,0.076923077,0
ABP,0.066666667,0,0,0,0.066666667,0.2,0.133333333,0.133333333,0.133333333,0.133333333,0.066666667,0,0,0,0,0,0,0.066666667,0,0
ABP,0.153846154,0,0,0,0.153846154,0.153846154,0,0.153846154,0.076923077,0.153846154,0,0,0,0,0,0.076923077,0,0.076923077,0,0
ABP,0,0,0.076923077,0,0,0.076923077,0,0.076923077,0,0.461538462,0,0.153846154,0.076923077,0,0,0,0,0.076923077,0,0
ABP,0,0,0,0,0.166666667,0.166666667,0,0.25,0,0.083333333,0,0.083333333,0.083333333,0,0.083333333,0,0,0.083333333,0,0
ABP,0.066666667,0,0,0,0.2,0.133333333,0,0.133333333,0.066666667,0.2,0,0,0.066666667,0,0,0.133333333,0,0,0,0
ABP,0.090909091,0,0,0,0.181818182,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0.181818182,0
ABP,0.083333333,0,0,0,0.166666667,0.083333333,0.083333333,0.083333333,0,0.333333333,0,0,0.083333333,0,0,0.083333333,0,0,0,0
ABP,0,0,0.1,0,0.1,0.3,0,0.1,0,0.2,0,0,0,0,0,0,0,0.2,0,0
ABP,0,0,0,0,0.083333333,0.166666667,0,0.166666667,0.083333333,0.25,0,0.083333333,0,0,0,0.166666667,0,0,0,0
ABP,0,0,0,0,0,0.083333333,0.083333333,0.083333333,0.333333333,0.166666667,0.083333333,0,0,0,0,0.083333333,0,0,0.083333333,0
ABP,0,0,0,0,0,0.166666667,0,0.166666667,0.083333333,0.416666667,0,0,0.083333333,0,0,0,0.083333333,0,0,0
ABP,0,0,0,0,0,0.166666667,0,0,0,0.416666667,0,0.25,0.083333333,0,0,0,0,0.083333333,0,0
ABP,0.111111111,0,0.111111111,0,0,0.222222222,0,0.111111111,0,0.444444444,0,0,0,0,0,0,0,0,0,0
ABP,0.0625,0,0,0,0.125,0.1875,0,0.0625,0.0625,0.125,0.125,0,0.0625,0,0,0.125,0,0.0625,0,0
ABP,0.125,0,0,0,0,0.0625,0,0.0625,0.1875,0.375,0,0,0,0,0,0.125,0.0625,0,0,0
ABP,0.076923077,0,0,0,0,0.076923077,0,0.307692308,0.230769231,0.153846154,0,0.076923077,0,0,0,0.076923077,0,0,0,0
ABP,0.076923077,0,0,0,0.153846154,0.076923077,0,0.076923077,0.076923077,0.307692308,0,0,0.076923077,0,0,0,0.076923077,0.076923077,0,0
ABP,0,0,0,0,0.083333333,0.166666667,0,0.166666667,0,0.25,0,0,0.083333333,0,0.083333333,0.083333333,0,0.083333333,0,0
ABP,0.0625,0,0.0625,0,0.125,0.125,0.0625,0,0,0,0,0.125,0.0625,0,0,0,0.0625,0,0.1875,0.125
ABP,0,0,0,0,0,0.090909091,0.090909091,0.181818182,0.090909091,0.181818182,0.090909091,0,0,0,0.090909091,0.090909091,0,0,0.090909091,0
ABP,0.090909091,0,0,0,0.181818182,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0.153846154,0,0,0,0.153846154,0.076923077,0,0,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0.076923077,0,0
ABP,0.133333333,0,0,0,0.133333333,0.133333333,0,0.133333333,0.066666667,0.2,0,0,0.066666667,0,0,0.133333333,0,0,0,0
ABP,0,0,0,0,0.111111111,0.222222222,0,0.111111111,0.111111111,0.222222222,0,0,0.111111111,0,0,0,0,0,0,0.111111111
ABP,0.153846154,0,0,0,0.153846154,0.153846154,0,0.230769231,0.076923077,0.153846154,0,0,0,0,0,0.076923077,0,0,0,0
ABP,0,0,0,0,0,0.0625,0.375,0,0,0.5,0,0,0,0,0,0,0,0,0.0625,0
ABP,0.133333333,0,0,0,0.133333333,0.2,0,0.2,0,0.133333333,0,0,0.066666667,0,0,0.133333333,0,0,0,0
ABP,0,0,0.071428571,0,0.071428571,0.142857143,0,0.071428571,0,0.357142857,0,0.071428571,0.142857143,0,0,0,0.071428571,0,0,0
ABP,0,0,0,0,0,0.083333333,0.166666667,0.083333333,0.25,0.25,0.083333333,0,0,0,0,0,0,0,0.083333333,0
ABP,0.181818182,0,0,0,0.181818182,0.090909091,0,0,0.181818182,0.090909091,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0.071428571,0,0,0.071428571,0.214285714,0,0,0.142857143,0,0.142857143,0,0,0.142857143,0.071428571,0.071428571,0.071428571,0,0,0,0
ABP,0,0,0,0.083333333,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0.083333333,0,0.083333333,0.083333333,0
ABP,0,0,0,0,0,0.181818182,0.181818182,0,0.090909091,0.272727273,0,0,0,0,0.181818182,0,0,0,0.090909091,0
ABP,0,0,0,0,0.071428571,0.142857143,0,0.142857143,0.214285714,0.214285714,0,0,0,0,0,0.071428571,0,0.071428571,0.071428571,0
ABP,0.153846154,0,0,0,0.153846154,0,0,0.076923077,0.076923077,0.153846154,0,0.076923077,0,0,0,0.153846154,0.076923077,0,0.076923077,0
ABP,0.071428571,0,0,0,0.071428571,0.142857143,0,0,0,0.428571429,0.071428571,0.071428571,0.071428571,0.071428571,0,0,0,0,0,0
ABP,0.066666667,0,0,0,0.133333333,0.133333333,0,0.2,0.066666667,0.2,0,0,0.066666667,0,0,0.133333333,0,0,0,0
ABP,0.157894737,0,0,0,0.105263158,0,0.157894737,0.105263158,0,0.157894737,0,0.052631579,0.052631579,0,0,0.105263158,0,0.105263158,0,0
ABP,0.153846154,0,0,0,0.076923077,0.153846154,0,0,0,0.307692308,0,0,0.076923077,0,0.076923077,0.076923077,0,0.076923077,0,0
ABP,0.111111111,0,0,0,0,0.055555556,0.388888889,0,0,0.333333333,0,0,0,0,0,0.055555556,0,0,0.055555556,0
ABP,0.090909091,0,0,0,0.181818182,0,0,0.272727273,0.090909091,0.181818182,0,0,0,0,0.090909091,0,0,0,0.090909091,0
ABP,0.153846154,0,0,0,0.076923077,0.076923077,0,0,0.153846154,0.384615385,0,0,0,0,0,0.076923077,0,0.076923077,0,0
ABP,0.153846154,0,0,0,0.153846154,0.076923077,0,0,0.153846154,0.384615385,0,0.076923077,0,0,0,0,0,0,0,0
ABP,0.153846154,0,0,0,0.076923077,0.076923077,0,0,0.153846154,0.230769231,0,0,0,0,0,0.076923077,0,0.153846154,0.076923077,0
ABP,0.066666667,0,0.066666667,0,0.066666667,0.333333333,0,0.066666667,0,0.333333333,0,0.066666667,0,0,0,0,0,0,0,0
ABP,0.058823529,0,0,0,0.176470588,0.117647059,0,0.176470588,0.058823529,0.176470588,0,0,0.058823529,0,0,0.117647059,0,0.058823529,0,0
ABP,0.166666667,0,0,0,0.25,0.083333333,0,0.166666667,0.083333333,0.083333333,0,0,0,0,0,0.166666667,0,0,0,0
ABP,0.071428571,0,0,0,0,0.214285714,0.071428571,0.214285714,0.071428571,0.214285714,0.071428571,0,0,0,0,0,0.071428571,0,0,0
ABP,0.181818182,0,0,0,0.181818182,0.090909091,0,0,0.181818182,0.090909091,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0.083333333,0,0,0,0.166666667,0,0,0,0.083333333,0.333333333,0,0,0.083333333,0,0,0.083333333,0.083333333,0.083333333,0,0
ABP,0,0,0,0,0.076923077,0.076923077,0.076923077,0.230769231,0.076923077,0.307692308,0,0.076923077,0.076923077,0,0,0,0,0,0,0
ABP,0.153846154,0,0,0,0.076923077,0.076923077,0,0,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0.153846154,0,0
ABP,0.181818182,0,0,0,0.090909091,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0.090909091,0.090909091,0
ABP,0,0,0,0,0,0.083333333,0,0.166666667,0,0.333333333,0,0.166666667,0.083333333,0,0,0.083333333,0,0.083333333,0,0
ABP,0.111111111,0,0,0,0.222222222,0.111111111,0,0.222222222,0.111111111,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0
ABP,0.083333333,0,0,0,0.25,0.083333333,0.166666667,0.25,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0
ABP,0,0,0,0,0.1,0.1,0,0.1,0.2,0.4,0,0,0,0,0,0,0.1,0,0,0
ABP,0,0,0,0,0,0.083333333,0,0.083333333,0.25,0.25,0.083333333,0,0,0.083333333,0,0.083333333,0,0,0.083333333,0
ABP,0,0,0,0,0,0.285714286,0,0,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0.142857143,0
ABP,0.076923077,0,0,0,0.230769231,0.076923077,0,0.076923077,0.076923077,0.230769231,0,0,0.076923077,0,0.076923077,0,0,0.076923077,0,0
ABP,0,0,0,0,0,0.076923077,0,0,0.153846154,0.615384615,0,0,0.076923077,0,0,0.076923077,0,0,0,0
ABP,0.181818182,0,0,0,0.272727273,0.090909091,0,0,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0,0
ABP,0.153846154,0,0,0,0.153846154,0.076923077,0,0,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0.076923077,0,0
ABP,0.076923077,0,0,0,0.153846154,0.076923077,0.230769231,0.230769231,0,0.076923077,0,0,0,0,0.076923077,0,0,0.076923077,0,0
ABP,0.153846154,0,0,0,0.153846154,0.076923077,0,0,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0.076923077,0,0
ABP,0.133333333,0,0,0,0,0.133333333,0,0.066666667,0.066666667,0.333333333,0,0.066666667,0,0,0,0.133333333,0.066666667,0,0,0
ABP,0,0,0,0,0,0.214285714,0,0.214285714,0.071428571,0.357142857,0,0,0.071428571,0,0,0.071428571,0,0,0,0
ABP,0.0625,0,0,0,0.0625,0.125,0,0.125,0.0625,0.25,0,0,0.0625,0,0,0.1875,0,0.0625,0,0
ABP,0.153846154,0,0,0,0.153846154,0.076923077,0,0,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0.076923077,0,0
ABP,0.071428571,0,0.071428571,0,0.071428571,0.214285714,0,0.142857143,0.071428571,0.142857143,0,0,0,0,0,0.071428571,0,0.142857143,0,0
ABP,0.076923077,0,0,0,0.076923077,0.153846154,0,0.076923077,0.076923077,0.153846154,0,0.076923077,0,0,0,0.076923077,0,0.153846154,0.076923077,0
ABP,0.153846154,0,0,0,0,0,0,0.076923077,0.076923077,0.461538462,0,0.076923077,0.076923077,0,0,0,0,0.076923077,0,0
ABP,0,0,0,0,0,0.1,0,0.1,0.2,0.5,0,0,0,0,0,0,0.1,0,0,0
ABP,0.166666667,0,0,0,0.166666667,0.083333333,0,0.083333333,0.083333333,0.166666667,0.083333333,0,0,0,0,0.166666667,0,0,0,0
ABP,0.083333333,0,0,0,0,0.083333333,0.083333333,0.083333333,0.25,0.25,0.083333333,0,0,0,0,0.083333333,0,0,0,0
ABP,0.111111111,0,0,0,0.166666667,0.111111111,0,0.166666667,0.055555556,0.166666667,0,0,0.055555556,0,0,0.166666667,0,0,0,0
ABP,0.083333333,0,0,0,0.166666667,0.083333333,0,0.083333333,0.083333333,0.333333333,0,0,0.083333333,0,0,0.083333333,0,0,0,0
ABP,0.0625,0,0,0,0.1875,0.125,0,0.125,0.0625,0.1875,0,0,0.0625,0,0,0.125,0,0.0625,0,0
ABP,0.083333333,0,0,0,0.166666667,0,0,0,0,0.416666667,0,0,0.083333333,0,0.083333333,0.166666667,0,0,0,0
ABP,0,0,0,0,0.083333333,0.166666667,0,0,0,0.5,0,0.083333333,0.083333333,0,0.083333333,0,0,0,0,0
